customer_id,churn_flag,ltv,acquisition_source,signup_date,region,segment,cluster,segment_tag
CUST-000001,0,2629.99,Facebook,2024-03-09,South,High-Value,3,"Low LTV, no churn"
CUST-000002,0,1402.46,Google Ads,2025-03-20,North,Medium-Value,1,"Low LTV, no churn"
CUST-000003,0,2036.94,Referral,2025-02-09,West,Low-Value,3,"Low LTV, no churn"
CUST-000004,0,8991.9,Google Ads,2025-04-22,South,Medium-Value,2,"High LTV, low churn"
CUST-000005,1,8850.71,Google Ads,2024-06-23,East,Low-Value,0,"High LTV, high churn risk"
CUST-000006,0,3211.25,Organic,2025-01-21,West,High-Value,3,"Low LTV, no churn"
CUST-000007,1,4869.58,Google Ads,2022-09-02,North,Low-Value,0,"Low LTV, high churn risk"
CUST-000008,0,3987.63,Google Ads,2024-06-08,West,High-Value,3,"Low LTV, no churn"
CUST-000009,0,8483.06,Facebook,2024-12-31,South,High-Value,2,"High LTV, low churn"
CUST-000010,0,9607.21,Google Ads,2024-06-28,North,Low-Value,0,"High LTV, low churn"
CUST-000011,0,644.82,Google Ads,2024-04-09,West,Low-Value,3,"Low LTV, no churn"
CUST-000012,0,2910.93,Google Ads,2023-05-27,South,Medium-Value,1,"Low LTV, no churn"
CUST-000013,0,7652.04,Google Ads,2024-03-18,North,High-Value,2,"High LTV, low churn"
CUST-000014,0,873.59,Facebook,2024-03-31,East,Medium-Value,1,"Low LTV, no churn"
CUST-000015,0,3519.69,Facebook,2024-08-15,East,Low-Value,3,"Low LTV, no churn"
CUST-000016,0,1552.76,Facebook,2022-11-03,North,High-Value,3,"Low LTV, no churn"
CUST-000017,0,3421.71,Google Ads,2024-02-21,North,Medium-Value,1,"Low LTV, no churn"
CUST-000018,0,5430.16,Organic,2023-10-19,East,Medium-Value,2,"Low LTV, no churn"
CUST-000019,0,4728.59,Google Ads,2022-09-16,North,High-Value,3,"Low LTV, no churn"
CUST-000020,0,7084.27,Referral,2022-12-22,West,High-Value,2,"High LTV, low churn"
CUST-000021,0,6334.13,Facebook,2025-05-11,East,High-Value,2,"Low LTV, no churn"
CUST-000022,0,3325.76,Organic,2023-03-22,West,Low-Value,3,"Low LTV, no churn"
CUST-000023,0,3590.5,Referral,2023-08-20,West,Medium-Value,1,"Low LTV, no churn"
CUST-000024,1,601.52,Facebook,2024-09-19,West,Medium-Value,1,"Low LTV, high churn risk"
CUST-000025,0,7871.85,Google Ads,2023-05-06,South,High-Value,2,"High LTV, low churn"
CUST-000026,0,2605.64,Referral,2025-04-30,North,Low-Value,3,"Low LTV, no churn"
CUST-000027,0,414.22,Facebook,2025-02-14,West,Low-Value,3,"Low LTV, no churn"
CUST-000028,1,7963.21,Google Ads,2023-11-21,West,High-Value,2,"High LTV, high churn risk"
CUST-000029,1,3486.68,Facebook,2023-01-22,North,High-Value,3,"Low LTV, high churn risk"
CUST-000030,0,7394.38,Google Ads,2023-07-08,West,Low-Value,0,"High LTV, low churn"
CUST-000031,0,3065.1,Google Ads,2023-08-03,South,Medium-Value,1,"Low LTV, no churn"
CUST-000032,0,1415.19,Referral,2023-10-07,East,High-Value,3,"Low LTV, no churn"
CUST-000033,0,9684.32,Organic,2025-04-28,West,Low-Value,0,"High LTV, low churn"
CUST-000034,0,5178.89,Facebook,2025-03-06,East,High-Value,2,"Low LTV, no churn"
CUST-000035,0,4216.85,Referral,2025-05-24,North,Low-Value,3,"Low LTV, no churn"
CUST-000036,1,4139.06,Facebook,2022-10-01,West,Low-Value,3,"Low LTV, high churn risk"
CUST-000037,0,9671.72,Facebook,2023-05-08,South,Low-Value,0,"High LTV, low churn"
CUST-000038,0,1428.42,Referral,2023-08-24,West,High-Value,3,"Low LTV, no churn"
CUST-000039,0,3069.35,Referral,2025-01-09,South,High-Value,3,"Low LTV, no churn"
CUST-000040,0,8123.16,Referral,2023-08-12,North,Low-Value,0,"High LTV, low churn"
CUST-000041,0,2251.13,Facebook,2025-02-09,South,Low-Value,3,"Low LTV, no churn"
CUST-000042,0,6969.9,Google Ads,2023-03-08,South,Low-Value,0,"Low LTV, no churn"
CUST-000043,1,8928.82,Google Ads,2024-10-13,North,High-Value,2,"High LTV, high churn risk"
CUST-000044,0,2844.9,Google Ads,2023-10-17,East,High-Value,3,"Low LTV, no churn"
CUST-000045,0,7350.66,Google Ads,2024-05-17,South,Medium-Value,2,"High LTV, low churn"
CUST-000046,0,3198.58,Google Ads,2024-06-17,East,Medium-Value,1,"Low LTV, no churn"
CUST-000047,0,7531.94,Facebook,2023-02-28,East,Medium-Value,2,"High LTV, low churn"
CUST-000048,0,2117.91,Facebook,2023-06-04,East,Medium-Value,1,"Low LTV, no churn"
CUST-000049,0,8713.63,Facebook,2024-05-10,North,Medium-Value,2,"High LTV, low churn"
CUST-000050,0,3667.76,Facebook,2022-09-13,West,Low-Value,3,"Low LTV, no churn"
CUST-000051,1,6889.84,Google Ads,2024-10-30,West,High-Value,2,"Low LTV, high churn risk"
CUST-000052,0,9303.17,Referral,2024-12-29,South,High-Value,2,"High LTV, low churn"
CUST-000053,0,3892.62,Referral,2023-10-07,East,Low-Value,3,"Low LTV, no churn"
CUST-000054,0,3157.55,Google Ads,2024-04-21,West,Medium-Value,1,"Low LTV, no churn"
CUST-000055,0,2631.48,Google Ads,2024-11-28,North,High-Value,3,"Low LTV, no churn"
CUST-000056,0,3325.38,Google Ads,2024-02-10,East,High-Value,3,"Low LTV, no churn"
CUST-000057,1,3154.13,Facebook,2023-09-30,West,Low-Value,3,"Low LTV, high churn risk"
CUST-000058,0,4461.57,Referral,2023-07-16,West,High-Value,3,"Low LTV, no churn"
CUST-000059,1,6065.36,Organic,2024-10-01,North,Medium-Value,2,"Low LTV, high churn risk"
CUST-000060,0,3633.1,Facebook,2024-02-13,North,Low-Value,3,"Low LTV, no churn"
CUST-000061,1,9000.59,Facebook,2024-11-28,West,Medium-Value,2,"High LTV, high churn risk"
CUST-000062,0,8745.48,Facebook,2022-08-05,West,Low-Value,0,"High LTV, low churn"
CUST-000063,0,9933.83,Facebook,2025-03-03,South,Medium-Value,2,"High LTV, low churn"
CUST-000064,0,6122.23,Google Ads,2024-07-17,North,Low-Value,0,"Low LTV, no churn"
CUST-000065,0,5163.98,Google Ads,2024-12-23,East,Low-Value,0,"Low LTV, no churn"
CUST-000066,0,5269.4,Facebook,2023-06-26,West,Medium-Value,1,"Low LTV, no churn"
CUST-000067,0,2945.14,Referral,2024-11-25,South,Medium-Value,1,"Low LTV, no churn"
CUST-000068,0,7850.46,Google Ads,2023-10-17,North,High-Value,2,"High LTV, low churn"
CUST-000069,1,6936.95,Facebook,2023-04-03,North,Medium-Value,2,"Low LTV, high churn risk"
CUST-000070,0,8324.13,Referral,2023-08-01,West,Low-Value,0,"High LTV, low churn"
CUST-000071,0,9057.97,Google Ads,2023-01-20,South,Low-Value,0,"High LTV, low churn"
CUST-000072,0,1670.58,Facebook,2022-07-23,East,Low-Value,3,"Low LTV, no churn"
CUST-000073,1,473.18,Facebook,2024-12-06,North,High-Value,3,"Low LTV, high churn risk"
CUST-000074,1,3385.34,Facebook,2024-04-12,West,High-Value,3,"Low LTV, high churn risk"
CUST-000075,0,6994.44,Referral,2024-07-13,South,High-Value,2,"Low LTV, no churn"
CUST-000076,0,2087.98,Google Ads,2024-06-22,South,Low-Value,3,"Low LTV, no churn"
CUST-000077,0,6727.19,Google Ads,2023-02-21,West,Medium-Value,2,"Low LTV, no churn"
CUST-000078,0,5889.93,Google Ads,2022-09-26,East,High-Value,2,"Low LTV, no churn"
CUST-000079,0,3594.23,Facebook,2022-11-15,North,High-Value,3,"Low LTV, no churn"
CUST-000080,0,1588.55,Facebook,2024-07-01,North,Low-Value,3,"Low LTV, no churn"
CUST-000081,0,1065.8,Facebook,2024-11-18,East,Low-Value,3,"Low LTV, no churn"
CUST-000082,0,5683.72,Google Ads,2024-06-30,East,High-Value,2,"Low LTV, no churn"
CUST-000083,0,282.99,Organic,2025-03-01,South,Low-Value,3,"Low LTV, no churn"
CUST-000084,0,2973.37,Facebook,2023-08-21,South,High-Value,3,"Low LTV, no churn"
CUST-000085,0,7266.05,Referral,2025-03-04,North,Low-Value,0,"High LTV, low churn"
CUST-000086,0,2861.85,Facebook,2023-07-14,South,Low-Value,3,"Low LTV, no churn"
CUST-000087,0,1286.9,Referral,2023-05-07,North,Low-Value,3,"Low LTV, no churn"
CUST-000088,0,5293.52,Referral,2023-12-15,West,Medium-Value,1,"Low LTV, no churn"
CUST-000089,0,1385.36,Google Ads,2024-03-24,South,High-Value,3,"Low LTV, no churn"
CUST-000090,0,8340.65,Referral,2024-05-01,North,Low-Value,0,"High LTV, low churn"
CUST-000091,1,8092.46,Facebook,2023-12-08,North,Medium-Value,2,"High LTV, high churn risk"
CUST-000092,0,175.77,Google Ads,2023-10-14,North,Low-Value,3,"Low LTV, no churn"
CUST-000093,0,5945.49,Referral,2024-03-09,West,Medium-Value,2,"Low LTV, no churn"
CUST-000094,1,3728.96,Referral,2023-02-27,North,Medium-Value,1,"Low LTV, high churn risk"
CUST-000095,0,3822.37,Google Ads,2023-09-12,South,Low-Value,3,"Low LTV, no churn"
CUST-000096,0,2394.48,Organic,2024-07-03,East,Medium-Value,1,"Low LTV, no churn"
CUST-000097,1,6944.12,Referral,2023-12-12,South,Low-Value,0,"Low LTV, high churn risk"
CUST-000098,0,6293.78,Google Ads,2022-08-11,West,Low-Value,0,"Low LTV, no churn"
CUST-000099,0,7850.96,Google Ads,2023-04-15,South,Medium-Value,2,"High LTV, low churn"
CUST-000100,0,1220.97,Google Ads,2024-01-06,East,High-Value,3,"Low LTV, no churn"
CUST-000101,0,7280.48,Referral,2024-05-27,South,High-Value,2,"High LTV, low churn"
CUST-000102,1,9851.0,Referral,2024-03-27,East,Low-Value,0,"High LTV, high churn risk"
CUST-000103,0,6184.8,Facebook,2024-02-28,East,High-Value,2,"Low LTV, no churn"
CUST-000104,0,4696.17,Google Ads,2023-04-26,North,Low-Value,0,"Low LTV, no churn"
CUST-000105,0,7375.6,Google Ads,2025-05-30,East,Low-Value,0,"High LTV, low churn"
CUST-000106,0,9229.22,Referral,2022-08-28,East,Low-Value,0,"High LTV, low churn"
CUST-000107,0,7599.35,Referral,2023-02-08,West,Medium-Value,2,"High LTV, low churn"
CUST-000108,0,9543.55,Referral,2023-04-27,East,High-Value,2,"High LTV, low churn"
CUST-000109,0,7868.99,Organic,2023-05-06,North,High-Value,2,"High LTV, low churn"
CUST-000110,1,7934.86,Google Ads,2023-08-01,East,High-Value,2,"High LTV, high churn risk"
CUST-000111,0,5794.39,Organic,2023-10-05,East,Medium-Value,2,"Low LTV, no churn"
CUST-000112,0,1335.3,Referral,2024-01-24,South,High-Value,3,"Low LTV, no churn"
CUST-000113,1,6626.0,Organic,2022-07-27,East,Medium-Value,2,"Low LTV, high churn risk"
CUST-000114,1,1629.18,Google Ads,2024-02-10,South,High-Value,3,"Low LTV, high churn risk"
CUST-000115,0,728.74,Facebook,2023-08-20,South,Low-Value,3,"Low LTV, no churn"
CUST-000116,0,2758.15,Facebook,2025-04-02,North,Medium-Value,1,"Low LTV, no churn"
CUST-000117,1,9759.11,Google Ads,2024-02-08,East,Low-Value,0,"High LTV, high churn risk"
CUST-000118,1,996.6,Google Ads,2022-10-05,West,Low-Value,3,"Low LTV, high churn risk"
CUST-000119,0,4659.19,Google Ads,2024-06-26,West,Medium-Value,1,"Low LTV, no churn"
CUST-000120,0,307.01,Facebook,2022-09-24,West,Low-Value,3,"Low LTV, no churn"
CUST-000121,0,4178.06,Organic,2024-09-07,North,Medium-Value,1,"Low LTV, no churn"
CUST-000122,0,6613.09,Google Ads,2024-09-18,West,Medium-Value,2,"Low LTV, no churn"
CUST-000123,0,2664.5,Facebook,2024-06-28,South,High-Value,3,"Low LTV, no churn"
CUST-000124,0,5711.56,Google Ads,2025-05-29,East,Low-Value,0,"Low LTV, no churn"
