shipment_id,product_id,distance_km,region,shipment_mode,shipment_cost
SHIP-000001,SKU-07518,239.86,East,Bulk,128.69
SHIP-000002,SKU-00528,551.8,South,Standard,185.34
SHIP-000003,SKU-02071,420.25,East,Standard,345.19
SHIP-000004,SKU-00157,670.33,West,Standard,139.71
SHIP-000005,SKU-04067,601.24,South,Bulk,363.92
SHIP-000006,SKU-05288,420.25,West,Standard,427.01
SHIP-000007,SKU-08443,353.96,East,Express,220.43
SHIP-000008,SKU-03597,496.95,North,Bulk,277.81
SHIP-000009,SKU-04860,569.62,South,Standard,70.73
SHIP-000010,SKU-05999,693.78,South,Express,205.21
SHIP-000011,SKU-02332,267.51,North,Express,181.37
SHIP-000012,SKU-04923,576.67,West,Express,402.13
SHIP-000013,SKU-06749,274.9,South,Bulk,477.41
SHIP-000014,SKU-03162,254.82,South,Standard,106.45
SHIP-000015,SKU-04431,533.72,South,Express,257.46
SHIP-000016,SKU-01103,45.35,North,Express,338.18
SHIP-000017,SKU-08863,68.71,East,Bulk,96.03
SHIP-000018,SKU-04890,763.65,South,Bulk,348.36
SHIP-000019,SKU-04990,926.95,South,Bulk,286.12
SHIP-000020,SKU-07730,32.42,North,Standard,66.87
SHIP-000021,SKU-02402,984.17,East,Standard,324.62
SHIP-000022,SKU-02308,791.37,East,Standard,229.1
SHIP-000023,SKU-06584,693.92,East,Standard,332.93
SHIP-000024,SKU-00064,255.06,West,Express,293.74
SHIP-000025,SKU-01405,119.32,North,Standard,82.47
SHIP-000026,SKU-00954,917.13,West,Express,490.94
SHIP-000027,SKU-02928,385.37,North,Express,78.95
SHIP-000028,SKU-02307,457.83,West,Bulk,37.94
SHIP-000029,SKU-08804,691.67,East,Bulk,135.72
SHIP-000030,SKU-05571,728.64,North,Standard,347.36
SHIP-000031,SKU-08668,929.86,West,Bulk,461.17
SHIP-000032,SKU-03936,615.32,North,Standard,244.84
SHIP-000033,SKU-08043,458.58,West,Bulk,269.56
SHIP-000034,SKU-05386,954.22,West,Standard,146.23
SHIP-000035,SKU-08443,596.16,West,Standard,392.19
SHIP-000036,SKU-09711,276.08,North,Express,153.65
SHIP-000037,SKU-00983,571.19,East,Standard,147.73
SHIP-000038,SKU-02238,823.46,West,Bulk,488.54
SHIP-000039,SKU-07662,601.87,West,Bulk,246.78
SHIP-000040,SKU-03189,448.55,North,Bulk,334.17
SHIP-000041,SKU-06728,323.36,North,Express,127.11
SHIP-000042,SKU-01148,328.4,West,Bulk,441.2
SHIP-000043,SKU-03327,361.51,East,Bulk,331.81
SHIP-000044,SKU-08221,925.9,West,Express,115.08
SHIP-000045,SKU-01125,156.1,North,Express,238.31
SHIP-000046,SKU-06015,929.36,West,Standard,164.59
SHIP-000047,SKU-00516,238.09,North,Express,284.1
SHIP-000048,SKU-06092,150.52,West,Bulk,401.47
SHIP-000049,SKU-09010,862.06,North,Standard,366.16
SHIP-000050,SKU-00283,125.63,West,Standard,301.19
SHIP-000051,SKU-09123,844.7,West,Bulk,286.12
SHIP-000052,SKU-02402,95.12,North,Bulk,141.37
SHIP-000053,SKU-00443,138.0,East,Bulk,54.37
SHIP-000054,SKU-05965,982.05,West,Bulk,337.65
SHIP-000055,SKU-02612,960.13,South,Bulk,36.14
SHIP-000056,SKU-01332,521.89,East,Standard,191.31
SHIP-000057,SKU-02384,548.1,East,Express,119.01
SHIP-000058,SKU-06284,583.4,West,Standard,260.71
SHIP-000059,SKU-00177,972.56,East,Standard,266.47
SHIP-000060,SKU-04659,118.64,East,Bulk,306.18
SHIP-000061,SKU-01661,26.14,South,Bulk,342.97
SHIP-000062,SKU-03580,934.25,North,Bulk,178.91
SHIP-000063,SKU-00399,217.72,South,Standard,400.16
SHIP-000064,SKU-09758,784.77,North,Bulk,463.37
SHIP-000065,SKU-05659,597.61,West,Standard,112.06
SHIP-000066,SKU-08733,384.58,West,Express,342.72
SHIP-000067,SKU-06402,600.74,East,Standard,212.82
SHIP-000068,SKU-01069,322.44,West,Express,312.26
SHIP-000069,SKU-06713,241.91,North,Express,106.35
SHIP-000070,SKU-09434,870.0,West,Express,350.85
SHIP-000071,SKU-07983,290.83,North,Bulk,48.03
SHIP-000072,SKU-02279,329.93,North,Bulk,393.39
SHIP-000073,SKU-09400,601.54,East,Standard,204.58
SHIP-000074,SKU-06907,338.12,North,Bulk,468.58
SHIP-000075,SKU-02093,899.71,South,Bulk,129.74
SHIP-000076,SKU-09801,95.3,East,Express,496.46
SHIP-000077,SKU-05402,181.47,South,Bulk,339.09
SHIP-000078,SKU-04262,936.81,West,Express,37.09
SHIP-000079,SKU-00787,621.4,South,Bulk,468.53
SHIP-000080,SKU-05872,691.86,East,Standard,371.63
SHIP-000081,SKU-04273,640.98,East,Bulk,38.85
SHIP-000082,SKU-02781,867.7,East,Express,127.48
SHIP-000083,SKU-07937,222.26,East,Bulk,87.87
SHIP-000084,SKU-05815,323.71,South,Standard,55.83
SHIP-000085,SKU-00415,928.55,South,Bulk,269.8
SHIP-000086,SKU-09421,531.92,East,Bulk,26.31
SHIP-000087,SKU-00459,923.27,East,Standard,386.0
SHIP-000088,SKU-01236,360.83,North,Bulk,161.73
SHIP-000089,SKU-02761,882.44,South,Bulk,232.93
SHIP-000090,SKU-00694,898.51,West,Bulk,408.39
SHIP-000091,SKU-04701,322.55,North,Bulk,440.88
SHIP-000092,SKU-08377,908.57,South,Standard,58.03
SHIP-000093,SKU-04977,328.1,North,Standard,91.31
SHIP-000094,SKU-06543,949.15,East,Bulk,251.82
SHIP-000095,SKU-02371,273.67,North,Bulk,217.51
SHIP-000096,SKU-07083,886.11,West,Standard,169.34
SHIP-000097,SKU-03601,370.25,East,Standard,429.0
SHIP-000098,SKU-09616,224.39,West,Express,44.2
SHIP-000099,SKU-08005,812.0,South,Bulk,343.62
SHIP-000100,SKU-08979,44.06,North,Standard,158.21
SHIP-000101,SKU-00593,837.42,North,Bulk,218.22
SHIP-000102,SKU-00573,133.0,South,Express,250.44
SHIP-000103,SKU-04479,520.65,East,Express,83.55
SHIP-000104,SKU-03721,814.87,South,Bulk,77.09
SHIP-000105,SKU-04518,423.68,South,Bulk,212.13
SHIP-000106,SKU-05630,238.26,East,Standard,478.93
SHIP-000107,SKU-03950,908.16,South,Standard,90.82
SHIP-000108,SKU-05493,841.18,South,Standard,408.51
SHIP-000109,SKU-01206,662.05,East,Standard,255.35
SHIP-000110,SKU-08969,607.26,West,Standard,319.86
SHIP-000111,SKU-08449,301.47,West,Express,483.14
SHIP-000112,SKU-03531,821.61,North,Standard,360.31
SHIP-000113,SKU-05404,870.98,East,Express,432.08
SHIP-000114,SKU-09921,654.87,West,Standard,27.83
SHIP-000115,SKU-00379,866.26,North,Bulk,435.36
SHIP-000116,SKU-00902,444.58,South,Bulk,180.05
SHIP-000117,SKU-03110,80.48,North,Standard,439.45
SHIP-000118,SKU-04568,451.7,West,Standard,301.9
SHIP-000119,SKU-03428,785.84,West,Standard,197.61
SHIP-000120,SKU-06011,588.03,West,Bulk,490.13
SHIP-000121,SKU-09154,527.97,North,Standard,404.39
SHIP-000122,SKU-07537,669.25,East,Standard,336.29
SHIP-000123,SKU-04015,464.34,West,Standard,373.53
SHIP-000124,SKU-08549,992.97,North,Express,73.84
SHIP-000125,SKU-09662,569.22,South,Standard,95.14
SHIP-000126,SKU-02829,304.55,West,Bulk,244.42
SHIP-000127,SKU-01285,735.33,North,Express,497.57
SHIP-000128,SKU-09801,447.8,North,Standard,137.42
SHIP-000129,SKU-07651,30.39,North,Bulk,112.93
SHIP-000130,SKU-02668,572.24,North,Express,22.59
SHIP-000131,SKU-05278,169.48,South,Express,88.07
SHIP-000132,SKU-03229,988.57,West,Standard,478.95
SHIP-000133,SKU-01018,991.84,North,Express,330.98
SHIP-000134,SKU-05568,609.86,East,Express,73.99
SHIP-000135,SKU-03244,611.07,North,Bulk,133.69
SHIP-000136,SKU-03837,696.35,West,Express,23.49
SHIP-000137,SKU-01530,801.84,North,Express,92.89
SHIP-000138,SKU-04087,729.53,East,Standard,400.08
SHIP-000139,SKU-08187,785.46,East,Bulk,109.78
SHIP-000140,SKU-07398,552.64,East,Bulk,228.97
SHIP-000141,SKU-09038,326.6,South,Express,322.41
SHIP-000142,SKU-05735,153.51,West,Bulk,382.56
SHIP-000143,SKU-07442,545.46,South,Standard,331.52
SHIP-000144,SKU-03572,984.36,South,Standard,303.45
SHIP-000145,SKU-04676,514.2,South,Express,472.44
SHIP-000146,SKU-02380,120.73,North,Standard,224.6
SHIP-000147,SKU-06816,276.23,South,Standard,194.3
SHIP-000148,SKU-01298,67.03,North,Standard,185.31
SHIP-000149,SKU-02751,107.44,South,Bulk,250.64
SHIP-000150,SKU-07830,13.25,West,Express,282.23
SHIP-000151,SKU-06484,393.43,East,Express,84.97
SHIP-000152,SKU-02058,371.49,North,Express,255.19
SHIP-000153,SKU-06846,759.76,East,Express,149.96
SHIP-000154,SKU-05290,413.45,North,Express,499.32
SHIP-000155,SKU-03765,770.03,South,Express,353.34
SHIP-000156,SKU-07435,597.91,East,Express,195.5
SHIP-000157,SKU-01398,767.88,East,Standard,146.87
SHIP-000158,SKU-04730,613.76,North,Standard,136.27
SHIP-000159,SKU-00138,851.38,East,Express,191.94
SHIP-000160,SKU-08874,263.66,South,Bulk,202.08
SHIP-000161,SKU-08941,709.64,North,Bulk,212.29
SHIP-000162,SKU-06203,331.17,North,Express,349.21
SHIP-000163,SKU-03870,902.24,South,Bulk,56.12
SHIP-000164,SKU-05034,298.57,North,Express,250.62
SHIP-000165,SKU-06769,421.07,South,Standard,38.87
SHIP-000166,SKU-04184,891.38,North,Express,476.79
SHIP-000167,SKU-05547,268.85,West,Express,113.75
SHIP-000168,SKU-05232,979.59,East,Express,294.69
SHIP-000169,SKU-06676,572.16,North,Bulk,51.07
SHIP-000170,SKU-01233,975.2,North,Express,431.63
SHIP-000171,SKU-04945,968.53,East,Express,22.64
SHIP-000172,SKU-02538,658.8,North,Express,296.56
SHIP-000173,SKU-06946,706.5,North,Standard,354.49
