product_id,unit_cost,mrp,category,launch_date
SKU-00001,218.54,436.28,Grocery,2024-03-05
SKU-00002,477.82,399.62,Electronics,2024-01-08
SKU-00003,379.4,258.54,Apparel,2024-09-13
SKU-00004,319.4,646.54,Home & Kitchen,2025-03-28
SKU-00005,120.21,528.96,Apparel,2023-07-04
SKU-00006,120.2,879.13,Grocery,2023-04-11
SKU-00007,76.14,128.9,Beauty,2023-11-23
SKU-00008,439.78,679.48,Electronics,2024-11-09
SKU-00009,320.5,786.65,Grocery,2024-06-12
SKU-00010,368.63,783.54,Electronics,2023-10-24
SKU-00011,59.26,897.47,Apparel,2022-10-07
SKU-00012,486.46,756.13,Electronics,2024-03-17
SKU-00013,424.6,935.03,Electronics,2024-10-16
SKU-00014,145.55,399.39,Apparel,2025-01-24
SKU-00015,131.82,552.89,Apparel,2024-09-26
SKU-00016,132.53,112.67,Grocery,2023-03-24
SKU-00017,186.91,106.26,Grocery,2022-09-21
SKU-00018,286.14,316.11,Beauty,2023-02-21
SKU-00019,244.38,190.73,Home & Kitchen,2024-04-22
SKU-00020,181.05,334.19,Electronics,2023-06-19
SKU-00021,325.33,259.34,Apparel,2022-08-26
SKU-00022,112.77,125.67,Apparel,2023-04-06
SKU-00023,181.47,918.37,Apparel,2024-06-20
SKU-00024,214.86,107.4,Home & Kitchen,2023-03-20
SKU-00025,255.23,762.47,Home & Kitchen,2024-04-08
SKU-00026,403.33,236.93,Apparel,2024-08-24
SKU-00027,139.85,921.01,Electronics,2022-08-04
SKU-00028,281.41,903.52,Electronics,2024-02-06
SKU-00029,316.59,688.51,Electronics,2023-01-24
SKU-00030,70.9,705.01,Electronics,2024-10-24
SKU-00031,323.4,104.81,Grocery,2023-12-01
SKU-00032,126.74,986.38,Electronics,2025-05-18
SKU-00033,79.27,890.05,Grocery,2024-08-04
SKU-00034,477.0,905.6,Apparel,2025-05-29
SKU-00035,484.53,693.32,Electronics,2024-09-16
SKU-00036,413.78,410.31,Grocery,2023-03-08
SKU-00037,187.08,904.28,Home & Kitchen,2023-10-19
SKU-00038,93.95,362.37,Electronics,2023-07-30
