sale_id,product_id,channel,region,quantity,discount_pct,returned_flag,date,customer_id
SALE-0000001,SKU-08198,Retail,North,3,0.18,0,2025-02-24,CUST-001825
SALE-0000002,SKU-07821,Online,South,3,0.02,0,2024-07-10,CUST-000410
SALE-0000003,SKU-08141,Online,South,4,0.13,0,2025-03-24,CUST-004507
SALE-0000004,SKU-00532,Wholesale,North,5,0.47,0,2025-02-22,CUST-004013
SALE-0000005,SKU-08017,Online,East,9,0.49,0,2025-01-25,CUST-003658
SALE-0000006,SKU-00227,Online,South,8,0.17,0,2025-03-09,CUST-002287
SALE-0000007,SKU-06143,Online,West,1,0.07,0,2024-11-09,CUST-001680
SALE-0000008,SKU-07483,Online,East,8,0.5,0,2024-09-27,CUST-008936
SALE-0000009,SKU-02100,Wholesale,West,7,0.43,0,2024-11-10,CUST-001425
SALE-0000010,SKU-07314,Online,West,6,0.31,0,2024-12-05,CUST-009675
SALE-0000011,SKU-07291,Wholesale,West,6,0.44,0,2024-07-11,CUST-006913
SALE-0000012,SKU-04567,Online,North,6,0.18,0,2025-01-22,CUST-000521
SALE-0000013,SKU-09089,Online,South,2,0.23,0,2025-03-05,CUST-000489
SALE-0000014,SKU-09513,Online,North,6,0.1,0,2024-12-15,CUST-001536
SALE-0000015,SKU-02662,Retail,North,9,0.43,0,2024-10-11,CUST-003583
SALE-0000016,SKU-01665,Retail,South,8,0.01,0,2024-11-02,CUST-003812
SALE-0000017,SKU-01526,Online,West,7,0.13,0,2024-11-16,CUST-008280
SALE-0000018,SKU-03751,Online,South,4,0.18,0,2025-01-23,CUST-009864
SALE-0000019,SKU-06758,Online,West,9,0.41,0,2024-09-02,CUST-000435
SALE-0000020,SKU-03655,Online,West,7,0.25,0,2024-08-26,CUST-009196
SALE-0000021,SKU-02568,Retail,North,2,0.48,0,2025-05-10,CUST-003258
SALE-0000022,SKU-01097,Retail,South,3,0.13,0,2025-02-05,CUST-008929
SALE-0000023,SKU-03099,Online,West,9,0.14,0,2025-04-13,CUST-006874
SALE-0000024,SKU-03241,Online,North,9,0.05,0,2025-01-29,CUST-003612
SALE-0000025,SKU-07968,Online,South,1,0.28,0,2024-07-29,CUST-007360
SALE-0000026,SKU-06729,Online,South,1,0.44,0,2025-02-05,CUST-009655
SALE-0000027,SKU-05329,Wholesale,North,3,0.13,0,2025-06-25,CUST-004558
SALE-0000028,SKU-07779,Retail,East,9,0.12,0,2024-12-08,CUST-000107
SALE-0000029,SKU-08080,Online,South,2,0.15,0,2024-08-11,CUST-002616
SALE-0000030,SKU-03615,Online,East,9,0.22,0,2025-03-28,CUST-006925
SALE-0000031,SKU-00848,Retail,West,7,0.28,0,2025-01-18,CUST-005575
SALE-0000032,SKU-03617,Online,South,7,0.39,0,2025-03-13,CUST-004553
SALE-0000033,SKU-02705,Online,East,3,0.41,0,2024-08-16,CUST-002548
SALE-0000034,SKU-06755,Online,West,7,0.0,1,2025-06-17,CUST-003528
SALE-0000035,SKU-03894,Online,East,7,0.36,0,2025-03-01,CUST-005515
