supplier_id,name,industry,location,supplier_size,product_supplied,on_time_delivery,defect_rate,payment_delay_days,escalation_count,penalty_count,contract_duration_months,renewal_status,cost_per_unit,business_criticality,risk_score,recommended_action
SUP-01001,Frazier-Harris,Electronics,Floydstad,Medium,Chips,77.4,2.46,3.0,1,1,34,Not Renewed,52.81,Low,91,Renew
SUP-01002,Kennedy-Long,Pharma,West Karen,Medium,Transport Services,78.1,0.55,6.0,1,0,35,Renewed,724.78,High,29,Terminate
SUP-01003,"Cantu, Bates and Quinn",Logistics,Lake Patricia,Medium,Vaccines,81.6,5.3,3.0,1,0,26,Renewed,846.3,Medium,63,Renegotiate
SUP-01004,Fox-Bauer,Electronics,New Cynthiaville,Medium,Chips,68.8,2.6,6.0,3,0,24,Renewed,19.42,High,20,Renegotiate
SUP-01005,Hernandez Group,Chemicals,Lake Alexandraside,Small,Transport Services,81.0,0.77,21.0,2,0,10,Not Renewed,711.1,High,77,Renew
SUP-01006,Edwards-Villanueva,Automotive,Mcleanburgh,Large,Cleaning Agents,91.3,1.97,7.0,3,0,27,Not Renewed,461.25,High,25,Renegotiate
SUP-01007,Villanueva-Miller,Pharma,Bishopstad,Medium,Vaccines,99.6,3.52,1.0,0,0,19,Renewed,649.79,High,26,Renegotiate
SUP-01008,"Carey, Hall and Wade",Logistics,North Joshuashire,Medium,Vaccines,94.9,2.9,3.0,1,0,25,Not Renewed,437.64,High,61,Renegotiate
SUP-01009,Miller PLC,Automotive,South Kristen,Medium,Motors,95.2,1.68,4.0,2,0,23,Not Renewed,434.67,High,72,Renew
SUP-01010,Serrano Inc,Pharma,New Cody,Medium,Vaccines,66.2,4.67,7.0,1,0,15,Renewed,218.55,Medium,42,Terminate
SUP-01011,"Mcguire, Clark and Taylor",Chemicals,Kathleenburgh,Large,Cleaning Agents,79.7,3.03,9.0,2,0,14,Not Renewed,930.38,Medium,21,Renegotiate
SUP-01012,"Adams, Martin and Davis",Electronics,South Gregoryhaven,Small,Vaccines,89.8,,12.0,2,1,44,Not Renewed,301.3,Medium,43,Renew
SUP-01013,"Oneal, Johnson and Bartlett",Chemicals,Smithshire,Medium,Cleaning Agents,93.6,3.25,,1,0,40,Renewed,97.05,Low,83,Renew
SUP-01014,Carter Group,Logistics,New Michael,Medium,Vaccines,80.0,1.22,18.0,1,0,38,Renewed,466.69,Medium,70,Renegotiate
SUP-01015,"Hanna, Hines and Tate",Logistics,Lake Loretta,Small,Chips,67.2,1.57,4.0,1,0,20,Not Renewed,813.39,High,79,Renew
SUP-01016,Mosley LLC,Logistics,Reidhaven,Medium,Motors,77.9,1.11,27.0,0,1,42,Not Renewed,200.38,High,41,Renew
SUP-01017,Barnes-Ho,Logistics,Lake Kimborough,Large,Cleaning Agents,83.4,5.87,5.0,0,0,41,Renewed,902.03,Low,28,Renew
SUP-01018,Marsh and Sons,Electronics,Deannaburgh,Small,Vaccines,91.1,3.05,15.0,1,1,19,Renewed,577.28,Medium,39,Terminate
SUP-01019,"Williams, Parker and Silva",Chemicals,Anneland,Medium,Vaccines,76.7,4.37,5.0,0,0,20,Renewed,811.38,High,41,Renegotiate
SUP-01020,"Chapman, Flores and Gallagher",Pharma,Amytown,Medium,Chips,81.5,1.71,7.0,0,0,10,Renewed,742.79,Low,64,Renegotiate
SUP-01021,Patterson-Acosta,Automotive,New Zacharyfort,Large,Vaccines,72.2,4.77,6.0,2,0,31,Renewed,865.09,High,13,Renew
SUP-01022,Garcia LLC,Logistics,Calebmouth,Large,Chips,72.9,2.01,8.0,2,0,44,Renewed,312.35,High,67,Renew
